,name,eans,0,1,cluster_id
310,Larry's Fresh-Mint Dragées,7613269295709,chocolat,bonbons-chewing-gum,0
311,Larry's Fresh-Mint Dragées,7610167752952,chocolat,bonbons-chewing-gum,0
312,Larry's Fresh-Mint Dragées,7613269295716,chocolat,bonbons-chewing-gum,0
313,Cassis Pastilles gorge sugarfree,7610167620213,chocolat,bonbons-chewing-gum,0
314,Cassis Pastilles gorge sugarfree,23000285,chocolat,bonbons-chewing-gum,0
315,Cassis Pastilles gorge sugarfree,7617015018321,chocolat,bonbons-chewing-gum,0
316,Carambar Family,7622210104588,chocolat,bonbons-chewing-gum,0
317,Carambar Family,3538281300252,chocolat,bonbons-chewing-gum,0
318,Carambar Family,7640118678154,chocolat,bonbons-chewing-gum,0
319,Carambar Family,7622210104595,chocolat,bonbons-chewing-gum,0
320,Carambar Family,13538281300259,chocolat,bonbons-chewing-gum,0
321,Bio Oursons de gomme,7617027956819,chocolat,bonbons-chewing-gum,0
322,Bio Oursons de gomme,7613312134610,chocolat,bonbons-chewing-gum,0
323,Bio Oursons de gomme,7617027956826,chocolat,bonbons-chewing-gum,0
324,Larry's Caramel-Chocolat,7610167661476,chocolat,bonbons-chewing-gum,0
325,Larry's Caramel-Chocolat,7613269295884,chocolat,bonbons-chewing-gum,0
326,Larry's Caramel-Chocolat,7610167753980,chocolat,bonbons-chewing-gum,0
327,Larry's Caramel-Chocolat,7613269295891,chocolat,bonbons-chewing-gum,0
328,Larry's Melon Bonbon,7610167661537,chocolat,bonbons-chewing-gum,0
329,Larry's Melon Bonbon,7613269295822,chocolat,bonbons-chewing-gum,0
330,Larry's Melon Bonbon,7610167754130,chocolat,bonbons-chewing-gum,0
331,Larry's Melon Bonbon,7613269295839,chocolat,bonbons-chewing-gum,0
332,M-Budget Menthol extra-fort,7613269195382,chocolat,bonbons-chewing-gum,0
333,M-Budget Menthol extra-fort,7616500914018,chocolat,bonbons-chewing-gum,0
334,M-Budget Menthol extra-fort,7616500094178,chocolat,bonbons-chewing-gum,0
335,M-Budget Menthol extra-fort,7613269195399,chocolat,bonbons-chewing-gum,0
336,M-Budget Menthol extra-fort,7616500363519,chocolat,bonbons-chewing-gum,0
337,Fruity Fresh Dragées Uno,7616500645059,chocolat,bonbons-chewing-gum,0
338,Fruity Fresh Dragées Uno,7616500385634,chocolat,bonbons-chewing-gum,0
339,Fruity Fresh Dragées Uno,7616500374423,chocolat,bonbons-chewing-gum,0
340,V6 dental care Green tea Jasmin,57055084,chocolat,bonbons-chewing-gum,0
341,V6 dental care Green tea Jasmin,7622210420855,chocolat,bonbons-chewing-gum,0
342,Yupi Burger,4003084014884,chocolat,bonbons-chewing-gum,0
